,crypto_candidate,crypto_benchmark,crypto_optimizer,crypto_bench:Comprar y aguantar BTC,"crypto_bench:Pesos iguales, rebalanceo mensual",crypto_bench:Regla de tendencia solo BTC,stocks_candidate,stocks_benchmark,stocks_optimizer,stocks_bench:Comprar y aguantar SPY,"stocks_bench:Pesos iguales, rebalanceo mensual",stocks_bench:60/40 (SPY/IEF),stocks_passive
2025-06-08,3.5856,3.6429,6.0705,3.6429,2.7723,2.497,1.8825,7.104,1.8841,7.104,4.2356,4.0745,4.0745
2025-06-15,3.6055,3.6355,6.0648,3.6355,2.7292,2.464,1.8835,7.0787,1.9026,7.0787,4.2332,4.0788,4.0788
2025-06-22,3.5006,3.4766,5.9363,3.4766,2.5327,2.3742,1.8766,7.0672,1.8706,7.0672,4.2182,4.08,4.08
2025-06-29,3.6447,3.7337,6.1696,3.7337,2.7425,2.488,1.8873,7.3126,1.8632,7.3126,4.3131,4.1794,4.1794
2025-07-06,3.6452,3.7619,6.2089,3.7619,2.7617,2.4571,1.8988,7.4366,1.8858,7.4366,4.3834,4.2174,4.2174
2025-07-13,3.9264,4.0968,6.4709,4.0968,3.1627,2.6759,1.8929,7.4161,1.8595,7.4161,4.3702,4.2027,4.2027
2025-07-20,4.1558,4.0419,6.6407,4.0419,3.5501,2.64,1.8993,7.4632,1.8623,7.4632,4.3825,4.2206,4.2206
2025-07-27,4.3777,4.1153,6.9288,4.1153,3.5585,2.688,1.9216,7.5764,1.8857,7.5764,4.4376,4.266,4.266
2025-08-03,4.1371,3.937,6.5954,3.937,3.2345,2.5889,1.8689,7.3935,1.8204,7.3935,4.337,4.2232,4.2232
2025-08-10,4.3751,4.1068,7.1855,4.1068,3.5495,2.662,1.9013,7.5774,1.851,7.5774,4.4176,4.2825,4.2825
2025-08-17,4.5148,4.0521,7.4577,4.0521,3.6149,2.6237,1.9073,7.6518,1.8582,7.6518,4.4535,4.3061,4.3061
2025-08-24,4.6083,3.9113,7.5709,3.9113,3.6122,2.5116,1.9181,7.6741,1.8741,7.6741,4.495,4.3231,4.3231
2025-08-31,4.0538,3.7321,6.6913,3.7321,3.34,2.4253,1.9009,7.671,1.8455,7.671,4.4805,4.3285,4.3285
2025-09-07,3.9508,3.8352,6.5365,3.8352,3.4247,2.4319,1.9287,7.697,1.886,7.697,4.4981,4.3538,4.3538
2025-09-14,4.1003,3.9761,6.6841,3.9761,3.6549,2.4623,1.9655,7.818,1.9199,7.818,4.554,4.3996,4.3996
2025-09-21,4.1747,3.9735,6.8601,3.9735,3.6638,2.4607,1.988,7.9147,1.9418,7.9147,4.5887,4.4275,4.4275
2025-09-28,4.0453,3.8649,6.4739,3.8649,3.4317,2.3943,1.989,7.8922,1.9473,7.8922,4.5902,4.4126,4.4126
2025-10-05,4.1978,4.2561,6.7915,4.2561,3.6499,2.5604,2.0243,7.9804,1.9778,7.9804,4.6498,4.4516,4.4516
2025-10-12,3.7279,3.9677,5.8334,3.9677,3.2645,2.3572,1.987,7.7873,1.9194,7.7873,4.559,4.3927,4.3927
2025-10-19,3.6719,3.7456,5.7301,3.7456,3.0618,2.2963,2.0338,7.9229,1.9782,7.9229,4.6466,4.4485,4.4485
2025-10-26,3.6719,3.9472,5.7301,3.9472,3.2164,2.3065,2.0486,8.0762,1.983,8.0762,4.7046,4.504,4.504
2025-11-02,3.6166,3.8035,5.637,3.8035,3.0696,2.2384,2.0546,8.1336,2.0039,8.1336,4.6899,4.5131,4.5131
2025-11-09,3.5451,3.607,5.5346,3.607,3.0309,2.1916,2.0156,8.0014,1.9435,8.0014,4.6534,4.4692,4.4692
2025-11-16,3.5451,3.2451,5.5346,3.2451,2.8252,2.1916,2.0258,8.0128,1.9597,8.0128,4.6553,4.4689,4.4689
2025-11-23,3.5451,2.9933,5.5346,2.9933,2.6648,2.1916,2.0084,7.859,1.9574,7.859,4.5907,4.4279,4.4279
2025-11-30,3.5451,3.122,5.5346,3.122,2.6754,2.1916,2.04,8.1495,1.9947,8.1495,4.7249,4.5351,4.5351
2025-12-07,3.5451,3.1034,5.5346,3.1034,2.5985,2.1733,2.0147,8.1769,1.9692,8.1769,4.7235,4.5319,4.5319
2025-12-14,3.5451,3.0354,5.5346,3.0354,2.5747,2.17,2.0077,8.13,1.9648,8.13,4.7313,4.5106,4.5106
2025-12-21,3.5451,3.0505,5.5346,3.0505,2.6214,2.17,2.0066,8.1401,1.9654,8.1401,4.7319,4.5204,4.5204
2025-12-28,3.5451,3.0234,5.5346,3.0234,2.6428,2.17,2.0469,8.2563,2.0036,8.2563,4.7852,4.5646,4.5646
2026-01-04,3.5638,3.1479,5.5619,3.1479,2.749,2.1794,2.035,8.1709,1.9726,8.1709,4.7535,4.5284,4.5284
2026-01-11,3.6121,3.1257,5.6329,3.1257,2.7399,2.1717,2.0716,8.3013,2.0018,8.3013,4.8428,4.5779,4.5779
2026-01-18,3.6152,3.2479,5.587,3.2479,2.7281,2.2143,2.0934,8.2725,2.029,8.2725,4.8749,4.5614,4.5614
2026-01-25,3.4733,2.9786,5.4458,2.9786,2.4623,2.1371,2.1319,8.2434,2.0793,8.2434,4.8943,4.5516,4.5516
2026-02-01,3.4733,2.65,5.4458,2.65,2.1926,2.1371,2.1273,8.2762,2.0526,8.2762,4.8806,4.5629,4.5629
2026-02-08,3.4733,2.4299,5.4458,2.4299,2.0187,2.1371,2.1878,8.26,2.1014,8.26,4.9353,4.5649,4.5649
2026-02-15,3.4733,2.3647,5.4458,2.3647,2.0542,2.1371,2.2245,8.1539,2.1315,8.1539,4.9593,4.5475,4.5475
2026-02-22,3.4733,2.3275,5.4458,2.3275,2.0054,2.1371,2.2222,8.2458,2.1325,8.2458,4.9849,4.5777,4.5777
2026-03-01,3.4733,2.2649,5.4458,2.2649,1.9508,2.1282,2.225,8.2046,2.1371,8.2046,5.0019,4.5789,4.5789
2026-03-08,3.4733,2.2811,5.4458,2.2811,1.9261,2.1111,2.16,8.0419,2.108,8.0419,4.8572,4.4999,4.4999
2026-03-15,3.4733,2.5054,5.4458,2.5054,2.0652,2.1409,2.1646,7.9212,2.1541,7.9212,4.7935,4.4426,4.4426
2026-03-22,3.3575,2.3436,5.21,2.3436,1.9837,2.0619,2.1271,7.7783,2.1441,7.7783,4.6856,4.3801,4.3801
2026-03-29,3.3609,2.2729,5.2139,2.2729,1.9368,2.0214,2.16,7.6046,2.2061,7.6046,4.671,4.3144,4.3144
2026-04-05,3.3609,2.3748,5.2139,2.3748,1.9558,2.0214,2.155,7.8653,2.1793,7.8653,4.7819,4.4228,4.4228
2026-04-12,3.673,2.4355,5.8176,2.4355,2.0083,2.0426,2.1497,8.1487,2.1502,8.1487,4.9079,4.5223,4.5223
2026-04-19,3.5256,2.5465,5.4853,2.5465,2.0345,2.08,2.1427,8.5167,2.1117,8.5167,5.041,4.6629,4.6629
2026-04-26,3.7217,2.7061,5.9256,2.7061,2.1345,2.1588,2.146,8.5623,2.173,8.5623,5.0435,4.6724,4.6724
2026-05-03,3.848,2.7099,6.2064,2.7099,2.148,2.1611,2.1644,8.6427,2.1989,8.6427,5.0664,4.6917,4.6917
2026-05-10,4.085,2.8342,6.9466,2.8342,2.3439,2.2361,2.1958,8.8462,2.2266,8.8462,5.1464,4.7669,4.7669
2026-05-17,3.9579,2.6702,6.7226,2.6702,2.2001,2.1458,2.1936,8.8648,2.2476,8.8648,5.0966,4.7436,4.7436
2026-05-24,4.0434,2.6524,6.8916,2.6524,2.2073,2.127,2.2054,8.9424,2.2393,8.9424,5.1597,4.7761,4.7761
2026-05-31,3.9376,2.5352,6.5929,2.5352,2.1963,2.0931,2.2242,9.0724,2.2864,9.0724,5.1986,4.8336,4.8336
2026-06-07,3.9376,2.179,6.5929,2.179,1.8738,2.0751,2.1635,8.8454,2.191,8.8454,5.1124,4.7458,4.7458
2026-06-14,3.9376,2.2641,6.5929,2.2641,1.917,2.0751,2.166,8.8958,2.1874,8.8958,5.1895,4.7734,4.7734
2026-06-21,3.9376,2.1789,6.5929,2.1789,1.8602,2.0647,2.1797,8.9787,2.2401,8.9787,5.2095,4.8038,4.8038
2026-06-28,3.9376,2.0512,6.5929,2.0512,1.7449,2.0475,2.1666,8.7653,2.1571,8.7653,5.1916,4.7483,4.7483
2026-07-05,3.9376,2.1896,6.5929,2.1896,1.9158,2.0534,2.165,8.9551,2.1253,8.9551,5.2196,4.7976,4.7976
2026-07-12,3.9376,2.1968,6.5929,2.1968,1.8779,2.0551,2.1408,9.0774,2.1041,9.0774,5.2247,4.8273,4.8273
2026-07-19,3.809,2.229,6.2338,2.229,1.8957,2.0531,2.1191,8.9372,2.0593,8.9372,5.1768,4.7862,4.7862
2026-07-26,3.8485,2.2514,6.3034,2.2514,1.9144,2.057,2.1401,8.8848,2.0904,8.8848,5.1726,4.7529,4.7529
2026-08-02,3.6463,2.1873,5.9722,2.1873,1.88,2.0004,2.1017,8.9822,2.0187,8.9822,5.1847,4.7827,4.7827
2026-08-09,3.6401,2.2343,5.8932,2.2343,1.8928,1.9992,2.1034,9.2976,2.0327,9.2976,5.2962,4.8956,4.8956
2026-08-16,3.6157,2.1645,5.8447,2.1645,1.8604,1.9732,2.1197,9.3346,2.0297,9.3346,5.3289,4.9049,4.9049
2026-08-23,4.0367,2.6791,6.4035,2.6791,2.3168,2.2866,2.1086,9.2069,2.0183,9.2069,5.3106,4.8592,4.8592
2026-08-30,4.0558,2.6761,6.254,2.6761,2.2707,2.284,2.0951,9.2506,1.9997,9.2506,5.2852,4.8739,4.8739
2026-09-06,4.6427,2.7685,8.0913,2.7685,2.5522,2.3629,2.1134,9.2607,2.0096,9.2607,5.2842,4.8717,4.8717
2026-09-13,4.2552,2.6475,6.8427,2.6475,2.3863,2.2675,2.1093,9.1897,2.0178,9.1897,5.2214,4.8236,4.8236
2026-09-20,4.9229,2.7958,8.9174,2.7958,2.6663,2.3615,2.0882,9.1812,1.9932,9.1812,5.1856,4.8165,4.8165
2026-09-27,4.9677,2.9075,9.2348,2.9075,2.7358,2.4558,2.0924,9.2474,2.0095,9.2474,5.1741,4.8324,4.8324
